epoch,train_64,test_64,train_32,test_32,train_128,test_128,train_256,test_256,train_512,test_512,train_768,test_768
22.4,93.3,91.47,90.6,89.15,94.58,92.19,95.27,92.38,,,,
22.6,93.25,91.39,90.7,89.22,94.54,92.21,95.2,92.38,,,,
22.8,93.23,91.36,90.63,89.15,94.72,92.37,95.05,92.29,,,,
23,93.05,91.22,90.65,89.12,94.64,92.24,95.01,92.25,,,,
23.2,93.16,91.29,,,94.74,92.38,94.96,92.17,,,,
23.4,93.17,91.28,,,94.7,92.31,,,,,,
23.6,93.29,91.44,,,94.49,92.15,,,,,,
23.8,93.16,91.28,,,94.61,92.22,,,,,,
24,93.06,91.24,,,94.5,92.05,,,,,,
24.2,93.17,91.29,,,94.57,92.09,,,,,,
24.4,92.99,91.09,,,94.56,92.19,,,,,,
24.6,93.18,91.31,,,94.44,92.2,,,,,,
24.8,93.1,91.14,,,94.8,92.38,,,,,,
25,92.83,90.95,,,94.47,92.08,,,,,,
25.2,93.17,91.36,,,94.47,92.07,,,,,,
25.4,,,,,94.63,92.28,,,,,,
